('16673503-grinder-head-set-m-poland', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068425.jpg?v=1584384482', 'Grinder Head Set', 'M', 2850),
('26635014-china-1-pc', 'joint-support-knee-pads-breathable-non-slip-lift-knee-pads-powerful-rebound-spring-force-knee-booster', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306724601.jpg?v=1584384476', 'China', '1 PC', 2122),
('26635014-united-states-1-pc', 'joint-support-knee-pads-breathable-non-slip-lift-knee-pads-powerful-rebound-spring-force-knee-booster', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306724601.jpg?v=1584384476', 'United States', '1 PC', 2122),
('26635014-united-states-1-pair', 'joint-support-knee-pads-breathable-non-slip-lift-knee-pads-powerful-rebound-spring-force-knee-booster', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306724600.jpg?v=1584384476', 'United States', '1 Pair', 3692),
('26635014-china-1-pair', 'joint-support-knee-pads-breathable-non-slip-lift-knee-pads-powerful-rebound-spring-force-knee-booster', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306724600.jpg?v=1584384476', 'China', '1 Pair', 3692),
('353195-black-l', 'nylon-heavy-duty-dog-pet-harness-collar-adjustable-padded-extra-big-large-medium-small-dog-harnesses-vest-husky-dogs-supplies', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1309107669.jpg?v=1584384478', 'black', 'L', 1254),
('353195-black-m', 'nylon-heavy-duty-dog-pet-harness-collar-adjustable-padded-extra-big-large-medium-small-dog-harnesses-vest-husky-dogs-supplies', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1309107669.jpg?v=1584384478', 'black', 'M', 1136),
('353195-black-s', 'nylon-heavy-duty-dog-pet-harness-collar-adjustable-padded-extra-big-large-medium-small-dog-harnesses-vest-husky-dogs-supplies', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1309107669.jpg?v=1584384478', 'black', 'S', 1076),
('353195-black-xl', 'nylon-heavy-duty-dog-pet-harness-collar-adjustable-padded-extra-big-large-medium-small-dog-harnesses-vest-husky-dogs-supplies', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1309107669.jpg?v=1584384478', 'black', 'XL', 1436),
('353195-camouflage-xl', 'nylon-heavy-duty-dog-pet-harness-collar-adjustable-padded-extra-big-large-medium-small-dog-harnesses-vest-husky-dogs-supplies', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1309107670.jpg?v=1584384480', 'camouflage', 'XL', 1436),
